last_name, first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Franco, Maikel,596748,2022,.243,.351,.261,.272,.270,.108,87,11.5,33.1,4.7,
Choi, Ji-Man,596847,2022,.236,.413,.322,.337,.347,.177,92.2,10.6,37.3,11.9,
Bradley Jr., Jackie,598265,2022,.223,.330,.252,.268,.273,.107,87.6,7.4,29.4,4.8,
Candelario, Jeimer,600869,2022,.228,.379,.277,.292,.284,.152,87.2,13.5,37,8.3,
Daza, Yonathan,602074,2022,.282,.351,.323,.308,.333,.070,84.8,4.6,34.1,1.9,
Urias, Ramon,602104,2022,.250,.420,.313,.320,.309,.170,89.4,11,32.1,9.6,
Anderson, Brian,605119,2022,.229,.379,.293,.309,.317,.150,88.7,7.7,31.1,9.7,
Bell, Josh,605137,2022,.273,.424,.344,.349,.369,.151,88.9,8.4,30.7,7.2,
Betts, Mookie,605141,2022,.254,.465,.373,.344,.327,.211,90.5,18.6,36.2,9.7,
Caratini, Victor,605170,2022,.233,.350,.289,.309,.332,.117,89.4,6.6,30,6.3,
Davis, J.D.,605204,2022,.245,.471,.333,.353,.338,.227,92.4,12.3,34.8,16.2,
Machin, Vimael,605353,2022,.243,.343,.268,.301,.323,.100,89.3,10.2,36.3,3.9,
Castro, Harold,605612,2022,.275,.423,.297,.316,.305,.148,87,11.4,41.6,6.1,
Tapia, Raimel,606132,2022,.256,.366,.293,.286,.284,.110,87.6,4,27.5,5.1,
Aquino, Aristides,606157,2022,.179,.315,.266,.242,.231,.136,85.6,17.4,27.2,8.2,
Hernandez, Teoscar,606192,2022,.265,.501,.348,.351,.314,.236,92.6,11.6,36.3,15,
Marte, Ketel,606466,2022,.251,.377,.317,.315,.333,.126,90.1,13.5,31.6,6.1,
Haase, Eric,606992,2022,.239,.399,.322,.302,.292,.161,87.7,17,32.3,8.7,
Nimmo, Brandon,607043,2022,.261,.409,.353,.342,.357,.148,89.4,6.1,28.1,7,
Peterson, Jace,607054,2022,.235,.366,.306,.303,.316,.132,88.6,9.7,33.7,7.2,
Turner, Trea,607208,2022,.276,.432,.350,.335,.327,.156,88.9,10.2,35.3,7.6,
Stallings, Jacob,607732,2022,.221,.312,.265,.274,.292,.091,86.7,12.9,33.5,3.4,
Ramirez, Jose,608070,2022,.255,.408,.363,.320,.337,.153,87.7,20.7,33.7,6.6,
Bregman, Alex,608324,2022,.257,.416,.358,.350,.369,.159,88.9,19.5,36.2,7.3,
Gallo, Joey,608336,2022,.169,.373,.286,.295,.288,.205,89.6,23.8,29.3,17.6,
Kelly, Carson,608348,2022,.225,.345,.275,.288,.298,.120,87.7,14.7,33.2,5.2,
Seager, Corey,608369,2022,.283,.510,.331,.372,.354,.226,91.1,13.6,38.4,10.5,
Winker, Jesse,608385,2022,.249,.403,.313,.345,.369,.154,87.7,16.8,32,7.6,
Reynolds, Matt,608703,2022,.215,.305,.293,.272,.294,.090,90.2,5.6,36.5,3,
Cordero, Franchy,614173,2022,.228,.402,.304,.313,.310,.174,89.7,12.7,39,12.3,
Reyes, Franmil,614177,2022,.203,.358,.280,.275,.259,.155,92,9.9,27.8,11.3,
Swanson, Dansby,621020,2022,.257,.461,.337,.337,.314,.204,90.2,15.7,37,10.8,
Newman, Kevin,621028,2022,.260,.332,.303,.285,.304,.072,85.8,13.1,31.7,1.6,
Taylor, Chris,621035,2022,.195,.340,.298,.277,.282,.145,87.4,20.4,40.8,10.2,
Correa, Carlos,621043,2022,.276,.484,.362,.363,.353,.208,89.9,11.6,35.3,11.4,
Taylor, Tyrone,621438,2022,.236,.412,.314,.307,.289,.176,88,16.9,34.7,9.9,
Buxton, Byron,621439,2022,.242,.509,.356,.358,.323,.267,92.9,21.4,34.2,16.4,
Ward, Taylor,621493,2022,.268,.474,.362,.361,.352,.206,90,15.8,41.8,12.4,
Nido, Tomas,621512,2022,.242,.377,.265,.287,.279,.135,86.3,8.3,40.1,6.3,
Wisdom, Patrick,621550,2022,.188,.380,.316,.295,.284,.191,90.7,21,29.8,14.2,
Wendle, Joey,621563,2022,.250,.331,.289,.276,.289,.081,87.5,3,27.9,1.7,
Olson, Matt,621566,2022,.248,.467,.344,.347,.334,.219,92.9,16.1,33.8,13.6,
Margot, Manuel,622534,2022,.264,.357,.308,.299,.316,.092,89.5,10.2,30.9,3.7,
Reyes, Victor,622682,2022,.261,.368,.284,.292,.297,.107,87.9,10.9,35.5,5,
Mateo, Jorge,622761,2022,.222,.344,.281,.272,.269,.122,86.8,14.8,35.5,6,
Velazquez, Andrew,623205,2022,.202,.312,.239,.246,.243,.110,88,8.2,33,6.6,
Ramirez, Harold,623912,2022,.280,.387,.327,.314,.324,.108,88.5,4.8,32.2,4.8,
Santander, Anthony,623993,2022,.257,.471,.336,.352,.335,.214,90.1,21.4,33.5,11.6,
Alonso, Pete,624413,2022,.262,.489,.366,.354,.346,.227,89.8,18.2,34.5,12.3,
Arroyo, Christian,624414,2022,.292,.430,.319,.330,.330,.138,88.9,9.1,34.9,6.4,
Biggio, Cavan,624415,2022,.193,.319,.302,.288,.311,.126,87.9,19.6,36.2,6.9,
Frazier, Adam,624428,2022,.262,.339,.274,.297,.324,.077,85.1,13.6,37.7,1.5,
Trevino, Jose,624431,2022,.239,.364,.293,.281,.275,.125,87.9,13,31,5.1,
Gordon, Nick,624503,2022,.261,.464,.321,.333,.308,.203,90.6,12.5,36.6,9.4,
McGuire, Reese,624512,2022,.233,.326,.297,.267,.276,.092,87,14.1,33.2,2.5,
Soler, Jorge,624585,2022,.226,.421,.305,.322,.312,.196,91.2,13.7,33.1,12.2,
Hernandez, Yadiel,628450,2022,.244,.407,.315,.310,.293,.163,88.8,3.5,35.6,8.6,
Cronenworth, Jake,630105,2022,.221,.356,.318,.303,.319,.135,87.6,18.2,32.3,5.6,
Pinder, Chad,640461,2022,.235,.380,.281,.280,.263,.145,87.5,9.7,33.3,6.5,
Anderson, Tim,641313,2022,.302,.438,.323,.340,.340,.136,88.2,3.3,37.5,5.8,
Bellinger, Cody,641355,2022,.213,.354,.284,.278,.271,.141,89.4,20.3,34.4,8.3,
Crawford, J.P.,641487,2022,.255,.337,.306,.315,.353,.081,85.1,8.9,32.4,2,
Dozier, Hunter,641531,2022,.241,.387,.298,.301,.297,.146,88.5,13.1,33.1,7.7,
Engel, Adam,641553,2022,.219,.287,.256,.246,.264,.068,87.9,15,30.8,1.8,
Guillorme, Luis,641645,2022,.255,.335,.311,.302,.335,.080,86.2,4.3,35.6,2.4,
Heim, Jonah,641680,2022,.224,.361,.306,.291,.296,.137,89.3,17,29.6,6.9,
Mancini III, Trey,641820,2022,.245,.410,.312,.327,.328,.165,89.5,12.7,39.6,9.8,
McMahon, Ryan,641857,2022,.248,.423,.326,.330,.329,.176,91.7,10.8,36.4,10.4,
Neuse, Sheldon,641914,2022,.212,.291,.253,.254,.272,.079,89.1,1.5,23,3.1,
O'Neill, Tyler,641933,2022,.240,.423,.307,.331,.324,.183,89.8,13.6,36.6,11.3,
Tellez, Rowdy,642133,2022,.252,.479,.327,.349,.337,.226,91.1,15.3,31.4,12.9,
Mejia, Francisco,642336,2022,.242,.329,.279,.262,.265,.087,86.8,15.7,39.1,2.7,
Siri, Jose,642350,2022,.207,.323,.268,.261,.262,.116,87.2,15.4,35.1,6.2,
Rosario, Amed,642708,2022,.276,.396,.311,.310,.308,.120,88.4,5,31.1,4.5,
Adames, Willy,642715,2022,.238,.451,.325,.323,.299,.213,88.9,18.9,36.4,13,
Estrada, Thairo,642731,2022,.246,.352,.317,.299,.312,.107,86.2,8.1,31.6,4.4,
Benintendi, Andrew,643217,2022,.273,.407,.342,.334,.347,.134,89.2,12.6,39.2,5.1,
Cooper, Garrett,643265,2022,.260,.436,.330,.341,.338,.177,89.6,8.8,39,10.7,
Dubon, Mauricio,643289,2022,.239,.330,.247,.271,.279,.091,84.7,16.7,28.1,2.3,
Kemp, Tony,643393,2022,.219,.291,.287,.267,.294,.072,84.4,15,33.9,1.6,
Kiner-Falefa, Isiah,643396,2022,.262,.333,.285,.290,.317,.071,86.2,4.3,29.6,1.2,
McNeil, Jeff,643446,2022,.280,.389,.365,.323,.341,.109,86.9,12.8,39,2.7,
Schwindel, Frank,643524,2022,.230,.351,.278,.278,.281,.121,88.1,10.2,31.6,4.7,
Albies, Ozzie,645277,2022,.239,.387,.305,.297,.290,.148,87.1,16.9,34.8,5.4,
Robles, Victor,645302,2022,.203,.280,.260,.244,.256,.077,84.6,15.8,29.2,3.2,
Devers, Rafael,646240,2022,.282,.497,.373,.361,.348,.215,93.1,11.3,33.1,11.5,
Naylor, Josh,647304,2022,.257,.430,.331,.327,.323,.173,89.4,10.3,28.9,8.6,
Toro, Abraham,647351,2022,.226,.372,.246,.284,.277,.146,87,16.7,31.2,6.8,
Diaz, Aledmys,649557,2022,.261,.396,.301,.308,.306,.134,86.6,12.4,30.3,6.3,
